Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Mathieu,Herbaut,ZywOo,Francia,333711.15,Counter-Strike Global Offensive,First-Person Shooter
Alexandre,Pianaro,bodyy,Francia,306178.43,Counter-Strike Global Offensive,First-Person Shooter
Christophe,Xia,SIXER,Francia,272602,Counter-Strike Global Offensive,First-Person Shooter
Edouard,Dubourdeaux,SmithZz,Francia,269446.78,Counter-Strike Global Offensive,First-Person Shooter
Francois,Delaunay,Amanek,Francia,233210.47,Counter-Strike Global Offensive,First-Person Shooter
Sébastien,Debs,Ceb,Francia,5554297.41,Dota 2,Multiplayer Online Battle Arena
Paul,Boyer,sOAZ,Francia,422314.79,League of Legends,Multiplayer Online Battle Arena
Bora,Kim,YellOwStaR,Francia,183976.33,League of Legends,Multiplayer Online Battle Arena
Clément,Danglot,Skite,Francia,850264.02,Fortnite,Battle Royale
Nathan,Berquignol,Nayte,Francia,474562.23,Fortnite,Battle Royale
Corentin,Tardif,Hunter,Francia,229464.98,Fortnite,Battle Royale
Alexandre,Christophe,Andilex,Francia,187095.73,Fortnite,Battle Royale
Maxime,Thomas,Blax,Francia,152619.67,Fortnite,Battle Royale
Victor,Lopez,TheVic,Francia,144507.88,Fortnite,Battle Royale
Nicolas,Frejavise,Nikof,Francia,137954,Fortnite,Battle Royale
Gael,Gouzerch,Poko,Francia,90439.44,Overwatch,First-Person Shooter
Terence,Tarlier,SoOn,Francia,90428.77,Overwatch,First-Person Shooter
Dylan,Bignet,aKm,Francia,54391.23,Overwatch,First-Person Shooter
Benjamin,Chevasson,unKOE,Francia,54391.23,Overwatch,First-Person Shooter
Jérome,Trinh,JayPL,Francia,229170.87,Heroes of the Storm,Multiplayer Online Battle Arena
Thomas,Cailleux,Ménè,Francia,145068.51,Heroes of the Storm,Multiplayer Online Battle Arena
Romain,Hermann,Shiv,Francia,74811.76,PUBG,Battle Royale
Damien,Valliant,Dahmien7,Francia,71349.2,PUBG,Battle Royale
Alex,McMeekin,ALEX,Regno Unito,245208.72,Counter-Strike Global Offensive,First-Person Shooter
Jaden,Ashman,Wolfiez,Regno Unito,1331128.07,Fortnite,Battle Royale
Kyle,Jackson,Mongraal,Regno Unito,673154.23,Fortnite,Battle Royale
Benjy David,Fish,BenjyFishy,Regno Unito,496429.32,Fortnite,Battle Royale
Calum,MacGillivray,itemm,Regno Unito,215605,Fortnite,Battle Royale
Jordan,Tucker,Tuckz,Regno Unito,134800,Fortnite,Battle Royale
Isaac,Charles,Boombox,Regno Unito,98285.03,Overwatch,First-Person Shooter
Daniel,Hathaway,FunnyAstro,Regno Unito,96906.13,Overwatch,First-Person Shooter
Seb,Barton,numlocked,Regno Unito,66306.23,Overwatch,First-Person Shooter
Joshua,Bennett,Snitch,Regno Unito,238798.57,Heroes of the Storm,Multiplayer Online Battle Arena
James,Baker,Bakery,Regno Unito,134818.57,Heroes of the Storm,Multiplayer Online Battle Arena
Lawrence,Harper,Atheroangel,Regno Unito,120263.57,Heroes of the Storm,Multiplayer Online Battle Arena
Alex,Gouge,vard,Regno Unito,134614.01,PUBG,Battle Royale
Michael,Wake,mykLe,Regno Unito,49287.5,PUBG,Battle Royale
Keiron,Prescott,Scoom,Gibilterra,126204.51,PUBG,Battle Royale
Kurtis Wai Kin,Lau,Toyz,Hong Kong,224722.01,League of Legends,Multiplayer Online Battle Arena
Nate,Kou,Kreo,Hong Kong,1200043.07,Fortnite,Battle Royale
Luka,Perković,PerkZ,Croazia,471280.47,League of Legends,Multiplayer Online Battle Arena
Ivan,Koturić,Sportbilly,Croazia,72193.01,Heroes of the Storm,Multiplayer Online Battle Arena
Justin,McNally,MiracU,Irlanda,133114.01,PUBG,Battle Royale
Tal,Aizik,Fly,Israele,2381155.91,Dota 2,Multiplayer Online Battle Arena
Josh,Corona,Eqo,Israele,83532.82,Overwatch,First-Person Shooter
Amer,Al-Barkawi,Miracle-,Giordania,4798043.68,Dota 2,Multiplayer Online Battle Arena
Yazied,Jaradat,YapzOr,Giordania,1533698.67,Dota 2,Multiplayer Online Battle Arena
Sean,Henderson,ta1yo,Giappone,164025.25,Overwatch,First-Person Shooter
Yong Min,Kim,Febby,Corea del Sud,602221.88,Dota 2,Multiplayer Online Battle Arena
Sunyeob,Kim,QO,Corea del Sud,591322.79,Dota 2,Multiplayer Online Battle Arena
Noah,Pyo,MP,Corea del Sud,591176.77,Dota 2,Multiplayer Online Battle Arena
