Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Clinton,Loomis,Fear,Stati Uniti,2551657.34,Dota 2,Multiplayer Online Battle Arena
David,Hull,Moo,Stati Uniti,822916.86,Dota 2,Multiplayer Online Battle Arena
Peter,Peng,Doublelift,Stati Uniti,306475.81,League of Legends,Multiplayer Online Battle Arena
Zachary,Scuderi,Sneaky,Stati Uniti,282456.48,League of Legends,Multiplayer Online Battle Arena
Kyle,Giersdorf,Bugha,Stati Uniti,3141395.05,Fortnite,Battle Royale
Harrison,Chang,psalm,Stati Uniti,1873138.8,Fortnite,Battle Royale
Shane,Cotton,EpikWhale,Stati Uniti,1349767.32,Fortnite,Battle Royale
Rocco,Morales,Saf,Stati Uniti,1126345.35,Fortnite,Battle Royale
Davis,McClellan,Ceice,Stati Uniti,1109880.47,Fortnite,Battle Royale
Hayden,Krueger,Elevate,Stati Uniti,991583.2,Fortnite,Battle Royale
Timothy,Miller,Bizzle,Stati Uniti,615626.39,Fortnite,Battle Royale
Diego,Lima,Arkhram,Stati Uniti,608416.68,Fortnite,Battle Royale
Turner,Tenney,Tfue,Stati Uniti,594850,Fortnite,Battle Royale
Anthony,Colandro,ZexRow,Stati Uniti,506099.73,Fortnite,Battle Royale
Brendan,Falconer,Falconer,Stati Uniti,482850,Fortnite,Battle Royale
Daniel,Walsh,Dubs,Stati Uniti,468099.99,Fortnite,Battle Royale
Dennis,Lepore,Cloakzy,Stati Uniti,437975,Fortnite,Battle Royale
Nate,Hill,Nate Hill,Stati Uniti,437369.11,Fortnite,Battle Royale
Noah,Wright,Vivid,Stati Uniti,417366.67,Fortnite,Battle Royale
Noam,Ackenine,Megga,Stati Uniti,381283.32,Fortnite,Battle Royale
River,Handley,Riversan,Stati Uniti,360841.67,Fortnite,Battle Royale
Vinny,Gilgan,Vinny,Stati Uniti,350238.8,Fortnite,Battle Royale
Jack,,Cizzorz,Stati Uniti,345750,Fortnite,Battle Royale
Ryan,Chaplo,Chap,Stati Uniti,341066.67,Fortnite,Battle Royale
Jake,Brumleve,Poach,Stati Uniti,324900,Fortnite,Battle Royale
Trevor,Siegler,FunkBomb,Stati Uniti,315616.67,Fortnite,Battle Royale
Thomas,Mulligan,72hrs,Stati Uniti,310008.33,Fortnite,Battle Royale
Malachi,Greiner,Reverse2k,Stati Uniti,255546.92,Fortnite,Battle Royale
Cody,Conrod,Clix,Stati Uniti,250968.08,Fortnite,Battle Royale
Austin,Etue,Morgausse,Stati Uniti,250938.56,Fortnite,Battle Royale
Mack,Aesoph,MackWood,Stati Uniti,250525,Fortnite,Battle Royale
Dylan,Moore,Dmo,Stati Uniti,243025,Fortnite,Battle Royale
Jonathan,Weber,yung calculator,Stati Uniti,229850.77,Fortnite,Battle Royale
Josh,Roach,Commandment,Stati Uniti,221752.32,Fortnite,Battle Royale
Keenan,Santos,Rhux,Stati Uniti,217500,Fortnite,Battle Royale
Nick,McGuire,Aspect,Stati Uniti,215391.67,Fortnite,Battle Royale
Julio Cesar,Nevarez,Pika,Stati Uniti,182950,Fortnite,Battle Royale
Aydan,Conrad,Aydan,Stati Uniti,172583.33,Fortnite,Battle Royale
Dominick,Green,Unknown,Stati Uniti,159833.35,Fortnite,Battle Royale
Ben,Peterson,Edgey,Stati Uniti,153868.98,Fortnite,Battle Royale
Anthony,Waller,Tendons,Stati Uniti,150900,Fortnite,Battle Royale
,,Furious,Stati Uniti,143908.34,Fortnite,Battle Royale
Tyler,Blevins,Ninja,Stati Uniti,142413.56,Fortnite,Battle Royale
,,4DRStorm,Stati Uniti,141158.34,Fortnite,Battle Royale
Mason,Lanier,Symfuhny,Stati Uniti,139866.67,Fortnite,Battle Royale
Grant,Espe,Moth,Stati Uniti,314548.25,Overwatch,First-Person Shooter
Matthew,DeLisi,super,Stati Uniti,312948.02,Overwatch,First-Person Shooter
Jay,Won,sinatraa,Stati Uniti,164363.81,Overwatch,First-Person Shooter
Blake,Scott,Gator,Stati Uniti,69918.09,Overwatch,First-Person Shooter
Indy,Halpern,SPACE,Stati Uniti,55453.17,Overwatch,First-Person Shooter
Fan,Yang,Fan,Stati Uniti,149291.76,Heroes of the Storm,Multiplayer Online Battle Arena
John Paul,Lopez,KingCaffeine,Stati Uniti,138297.16,Heroes of the Storm,Multiplayer Online Battle Arena
Keiwan,Itakura,k1,Stati Uniti,138237.16,Heroes of the Storm,Multiplayer Online Battle Arena
Mike,Fisk,Glaurung,Stati Uniti,97856.2,Heroes of the Storm,Multiplayer Online Battle Arena
Chris,Buechter,Zuna,Stati Uniti,94813.8,Heroes of the Storm,Multiplayer Online Battle Arena
Manny,Medina,Fury,Stati Uniti,89529.34,Heroes of the Storm,Multiplayer Online Battle Arena
Harrison,Chang,psalm,Stati Uniti,80661.2,Heroes of the Storm,Multiplayer Online Battle Arena
Ricardo,Marques,DunkTrain,Stati Uniti,77997.16,Heroes of the Storm,Multiplayer Online Battle Arena
Stafford,Mcintyre,McIntyre,Stati Uniti,73817.6,Heroes of the Storm,Multiplayer Online Battle Arena
Taylor,Eder,Arthelon,Stati Uniti,73072.6,Heroes of the Storm,Multiplayer Online Battle Arena
Rori,Bryant-Raible,CauthonLuck,Stati Uniti,67720,Heroes of the Storm,Multiplayer Online Battle Arena
Sammuel,Hua,bigempct,Stati Uniti,66663.8,Heroes of the Storm,Multiplayer Online Battle Arena
Stefen,Anderson,akaface,Stati Uniti,64763.4,Heroes of the Storm,Multiplayer Online Battle Arena
Michael,Udall,MichaelUdall,Stati Uniti,64763.4,Heroes of the Storm,Multiplayer Online Battle Arena
Chandler,Gavran,Buds,Stati Uniti,64742.6,Heroes of the Storm,Multiplayer Online Battle Arena
Justin,Gapp,Justing,Stati Uniti,64742.6,Heroes of the Storm,Multiplayer Online Battle Arena
Khalif,Hashim,Khroen,Stati Uniti,63634.48,Heroes of the Storm,Multiplayer Online Battle Arena
Thomas,Maguire,Tomster,Stati Uniti,51663.14,Heroes of the Storm,Multiplayer Online Battle Arena
Josh,Choi,bkid,Stati Uniti,51453.4,Heroes of the Storm,Multiplayer Online Battle Arena
Logan,Heckman,Zanpah,Stati Uniti,130989.58,PUBG,Battle Royale
Mike,Gariti,Sharky,Stati Uniti,127694.75,PUBG,Battle Royale
Diondre,Bond,YaBoiDre,Stati Uniti,103739.58,PUBG,Battle Royale
Ben,Wheeler,Nerf,Stati Uniti,93098,PUBG,Battle Royale
Timothy,Ebarb,Uncivil,Stati Uniti,86853.44,PUBG,Battle Royale
Hunter,Winn,hwinn,Stati Uniti,85032.94,PUBG,Battle Royale
Kurtis,Bond,Purdy,Stati Uniti,84148.44,PUBG,Battle Royale
Kevin,Linn,Miccoy,Stati Uniti,82233.44,PUBG,Battle Royale
Aaron,Lommen,aLOW,Stati Uniti,81023.44,PUBG,Battle Royale
Tristan,Nowicky,Shrimzy,Stati Uniti,63736.69,PUBG,Battle Royale
Jace,Patras,Voxsic,Stati Uniti,53388.44,PUBG,Battle Royale
Patrick,Kaplan,PAT KAPS,Stati Uniti,51048.44,PUBG,Battle Royale
Jake,Winant,Snakers,Stati Uniti,47078.32,PUBG,Battle Royale
Sanjar,Kuliev,SANJI,Uzbekistan,232167.42,Counter-Strike Global Offensive,First-Person Shooter
,,Leviz,Vietnam,58725.83,PUBG,Battle Royale
